INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201703,212006,FRUIT JUICE NOT ORANGE 1L,1,1,102.86,103.427,102.86,0.54,0.48,0.42
201703,440224,DRIVING TEST FEES,1,0,100,100,100,0.28,0.22,0.22
201703,212021,BOTTLE STILL WATER 500ML,1,1,97.383,96.387,97.383,0.18,0.24,0.14
201703,630370,DIGITAL COMPACT CAMERAS,2,0,105.892,105.383,105.383,0.72,0.27,0.72
201703,510416,CHILDS SOCKS 1 PR UK 3-6.5,1,1,99.096,99.756,99.096,0.55,0.25,0.44
201703,630334,INTERNET COMPUTER GAMES,1,0,92.066,89.904,89.904,1.05,0.18,0.8
201703,510124,MENS SHORTS NOT SWIMWEAR,2,1,105.888,105.888,105.888,0.55,0.32,0.44
201703,430321,ELECTRIC RAZOR,2,1,106.574,103.803,103.803,0.48,0.18,0.38
201703,430120,COFFEE TABLE,2,1,112.573,109.57,109.57,0.54,0.78,0.45
201703,210317,FRUIT PIES 4-6 PACK,1,1,90.921,90.634,90.921,0.3,0.36,0.24
201703,640212,THEATRE ADULT EVES-FRONT STLLS,2,1,104.565,98.679,98.679,2.42,1.12,1.98
201703,430423,FRYING PAN 24-30CM,2,1,108.311,106.628,106.628,0.84,0.6,0.56
201703,212808,DRIED FRUIT - EG APRICOTS,1,1,100.121,101.175,100.121,0.36,0.46,0.28
201703,320205,5 CIGARS: SPECIFY BRAND,1,1,102.615,102.566,102.615,0.23,0.28,0.18
201703,440234,BANK OVERDRAFT CHARGES,1,0,100,100,100,2.24,0.22,1.76
201703,440254,HOURLY RATE FOR SOLICITOR,2,1,100.561,100.503,100.503,1.2,0.22,1
201703,310207,BITTER-4CANS-440-500ML,1,1,100.77,100.762,100.77,0.45,0.35,0.36
201703,630226,RECORDABLE CD PRICE PER CD,2,1,101.835,101.503,101.503,0.2,0.06,0.2
201703,510336,GIRLS SKIRT FOR SCHOOL 5-13YRS,2,1,104.387,102.497,102.497,0.55,0.5,0.44
201703,210217,RICE MICRO POUCH/TRAY 220-280G,1,1,108.996,109.819,108.996,0.15,0.09,0.12
201703,210413,HOME KILLED BEEF-TOPSIDE KG,1,1,98.147,98.508,98.147,0.4,0.76,0.32
201703,220209,PRIMARY SCHOOL- FIXED CHARGE,1,1,100,100,100,0.96,0.6,0.84
201703,510341,CHILDS TROUSERS (18MTHS-4YR),2,1,108.939,105.572,105.572,1.1,0.45,0.88
201703,630314,CONSTRUCTION TOY: SPEC KIT NO,2,1,99.793,99.404,99.404,1.26,0.36,0.96
201703,212402,POTATO CRISPS-25G/40G,1,1,103.164,103.296,103.164,0.52,0.33,0.4
201703,430229,FABRIC ROLLER BLIND 120-180CM,2,1,104.384,104.02,104.02,1.19,0.6,1.02
201703,520137,STERLING SILVER EARRINGS,2,1,111.008,108.678,108.678,0.63,0.18,0.49
201703,630524,INTERNET FLOWERS/BOUQUET,1,0,100,100,100,0.3,0.3,0.24
201703,630223,CDS- PURCH OVER INTERNET,1,0,138.116,137.54,137.54,0.32,0.16,0.32
201703,420301,GAS,1,0,100,100,100,14.7,16,11.76
201703,410607,PAINT BRUSH-2INCH/5CM WIDTH,1,1,100.87,101.387,100.87,0.07,0.3,0.07
201703,212515,FRESH VEG-TOMATOES-PER KG,1,1,107.607,108.136,107.607,0.91,0.96,0.7
201703,430624,CAT FOOD POUCH-IND-85G-100G,1,1,101.024,101.395,101.024,1.52,1.76,1.33
201703,212504,FRESH VEG-CAULIFLOWER-EACH,1,1,95.037,94.349,95.037,0.39,0.42,0.3
201703,510254,WOMENS SPORTSWEAR SHORTS,2,1,107.313,103.69,103.69,0.55,0.3,0.44
201703,410614,POWER DRILL-HAMMER ACTION,2,1,108.493,106.651,106.651,0.2,0.36,0.16
201703,210320,WHOLE SPONGE CAKE NOT FROZEN,1,1,101.166,100.685,101.166,0.75,0.84,0.6
201703,610309,ULTRA LOW SULPHUR DIESEL CPI,1,0,100.222,100.222,100.222,11.88,0,9.36
201703,212408,PREMIUM POTATO CRISPS/CHIPS,1,1,89.909,89.342,89.909,0.91,0.54,0.7
201703,510419,MEN'S TIE,2,1,105.101,103.439,103.439,1.25,0.4,1
201703,520249,BABY WIPES 50-85,1,1,98.229,97.523,98.229,0.96,0.6,0.76
201703,212519,FRESH VEG-ONIONS-PER KG,1,1,99.833,99.65,99.833,0.52,0.6,0.4
201703,440255,CREDIT CARD FEES,1,0,100.047,100.047,100.047,2.8,0.22,2.2
